team,player_number,left,top,success,game_index,rival,home
TOBARRA CB,28,11.001400000000004,53.3145,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,11.354,45.122,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,21,11.9182,27.9807,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,33.35680000000001,52.1802,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,15.8674,72.9766,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,31.5233,76.3797,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,31,15.2327,48.1469,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,6.770099999999999,58.2301,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,8.956299999999999,23.6953,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,11.4951,51.1719,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,9.097300000000004,51.9281,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,31.029600000000002,34.9128,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,27.715100000000007,81.2952,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,9.4499,51.8021,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,11.4245,49.2813,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,34.0621,72.2204,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,9.87306,49.7854,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,8.533100000000005,51.9281,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,12.200299999999999,50.0375,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,5,23.554299999999998,49.7854,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,10.437200000000004,49.2813,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,6,26.8688,49.5334,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,12.6939,53.3145,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,22,30.0423,20.6704,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,29.4076,76.3797,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,9.4499,48.399,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,11.354,51.2979,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,34.0621,32.8962,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,33.78,67.3049,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,9.943600000000004,54.5749,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,11.5656,53.5666,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,21,12.835,52.9364,True,1,CESUR DISTRITO OLIMPICO,True
CESUR DISTRITO OLIMPICO,33,29.407600000000002,77.262,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,7.686899999999994,93.0168,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,70,8.744699999999995,51.2979,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,5,8.533100000000005,47.5167,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,33,20.804,51.1719,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,70,9.4499,48.0209,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,15,10.9309,52.0541,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,12,31.311700000000002,19.6621,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,16,36.1777,56.3395,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,18.0536,22.687,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,16,14.6685,46.1303,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,14,12.6939,50.9198,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,33.2158,38.1898,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,2,9.732,49.5334,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,2,12.6234,54.4489,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,7.4047999999999945,51.2979,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,70,9.097300000000004,52.3062,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,97,18.8293,89.2357,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,29.9718,75.4974,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,15,13.2581,50.5417,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,14,11.0719,48.7771,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,70,10.5783,52.3062,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,10,29.478099999999998,22.8131,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,33,16.2906,72.2204,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,70,10.7898,47.5167,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,16,13.1171,28.6109,True,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,33,6.981700000000004,53.9447,False,1,TOBARRA CB,False
CESUR DISTRITO OLIMPICO,97,11.706599999999995,50.2896,False,1,TOBARRA CB,False
